KEGGID	ENTREZID	DESCRPTION
359	hsa00100	1595	Steroid biosynthesis
360	hsa00100	1717	Steroid biosynthesis
361	hsa00100	1718	Steroid biosynthesis
362	hsa00100	2222	Steroid biosynthesis
363	hsa00100	3930	Steroid biosynthesis
364	hsa00100	3988	Steroid biosynthesis
365	hsa00100	4047	Steroid biosynthesis
366	hsa00100	50814	Steroid biosynthesis
367	hsa00100	51478	Steroid biosynthesis
368	hsa00100	6307	Steroid biosynthesis
369	hsa00100	6309	Steroid biosynthesis
370	hsa00100	6646	Steroid biosynthesis
371	hsa00100	6713	Steroid biosynthesis
372	hsa00100	7108	Steroid biosynthesis
373	hsa00100	8435	Steroid biosynthesis
374	hsa00120	10005	Primary bile acid biosynthesis
375	hsa00120	10858	Primary bile acid biosynthesis
376	hsa00120	10998	Primary bile acid biosynthesis
377	hsa00120	1109	Primary bile acid biosynthesis
378	hsa00120	1581	Primary bile acid biosynthesis
379	hsa00120	1582	Primary bile acid biosynthesis
380	hsa00120	1593	Primary bile acid biosynthesis
381	hsa00120	23600	Primary bile acid biosynthesis
382	hsa00120	3295	Primary bile acid biosynthesis
383	hsa00120	51302	Primary bile acid biosynthesis
384	hsa00120	570	Primary bile acid biosynthesis
385	hsa00120	6342	Primary bile acid biosynthesis
386	hsa00120	6718	Primary bile acid biosynthesis
387	hsa00120	80270	Primary bile acid biosynthesis
388	hsa00120	8309	Primary bile acid biosynthesis
389	hsa00120	9023	Primary bile acid biosynthesis
390	hsa00120	9420	Primary bile acid biosynthesis
391	hsa00130	10229	Ubiquinone and other terpenoid-quinone biosynthesis
392	hsa00130	154807	Ubiquinone and other terpenoid-quinone biosynthesis
393	hsa00130	1728	Ubiquinone and other terpenoid-quinone biosynthesis
394	hsa00130	2677	Ubiquinone and other terpenoid-quinone biosynthesis
395	hsa00130	27235	Ubiquinone and other terpenoid-quinone biosynthesis
396	hsa00130	3242	Ubiquinone and other terpenoid-quinone biosynthesis
397	hsa00130	51004	Ubiquinone and other terpenoid-quinone biosynthesis
398	hsa00130	51805	Ubiquinone and other terpenoid-quinone biosynthesis
399	hsa00130	6898	Ubiquinone and other terpenoid-quinone biosynthesis
400	hsa00130	79001	Ubiquinone and other terpenoid-quinone biosynthesis
401	hsa00130	84274	Ubiquinone and other terpenoid-quinone biosynthesis
402	hsa00140	100861540	Steroid hormone biosynthesis
403	hsa00140	10720	Steroid hormone biosynthesis
404	hsa00140	10941	Steroid hormone biosynthesis
405	hsa00140	1109	Steroid hormone biosynthesis
406	hsa00140	1312	Steroid hormone biosynthesis
407	hsa00140	1543	Steroid hormone biosynthesis
408	hsa00140	1544	Steroid hormone biosynthesis
409	hsa00140	1545	Steroid hormone biosynthesis
410	hsa00140	1551	Steroid hormone biosynthesis
411	hsa00140	1571	Steroid hormone biosynthesis
412	hsa00140	1576	Steroid hormone biosynthesis
413	hsa00140	1577	Steroid hormone biosynthesis
414	hsa00140	1581	Steroid hormone biosynthesis
415	hsa00140	1583	Steroid hormone biosynthesis
416	hsa00140	1584	Steroid hormone biosynthesis
417	hsa00140	1585	Steroid hormone biosynthesis
418	hsa00140	1586	Steroid hormone biosynthesis
419	hsa00140	1588	Steroid hormone biosynthesis
420	hsa00140	1589	Steroid hormone biosynthesis
421	hsa00140	1645	Steroid hormone biosynthesis
422	hsa00140	1646	Steroid hormone biosynthesis
423	hsa00140	220074	Steroid hormone biosynthesis
424	hsa00140	3283	Steroid hormone biosynthesis
425	hsa00140	3284	Steroid hormone biosynthesis
426	hsa00140	3290	Steroid hormone biosynthesis
427	hsa00140	3291	Steroid hormone biosynthesis
428	hsa00140	3292	Steroid hormone biosynthesis
429	hsa00140	3293	Steroid hormone biosynthesis
430	hsa00140	3294	Steroid hormone biosynthesis
431	hsa00140	374875	Steroid hormone biosynthesis
432	hsa00140	412	Steroid hormone biosynthesis
433	hsa00140	51144	Steroid hormone biosynthesis
434	hsa00140	51478	Steroid hormone biosynthesis
435	hsa00140	54490	Steroid hormone biosynthesis
436	hsa00140	54575	Steroid hormone biosynthesis
437	hsa00140	54576	Steroid hormone biosynthesis
438	hsa00140	54577	Steroid hormone biosynthesis
439	hsa00140	54578	Steroid hormone biosynthesis
440	hsa00140	54579	Steroid hormone biosynthesis
441	hsa00140	54600	Steroid hormone biosynthesis
442	hsa00140	54657	Steroid hormone biosynthesis
443	hsa00140	54658	Steroid hormone biosynthesis
444	hsa00140	54659	Steroid hormone biosynthesis
445	hsa00140	574537	Steroid hormone biosynthesis
446	hsa00140	6715	Steroid hormone biosynthesis
447	hsa00140	6716	Steroid hormone biosynthesis
448	hsa00140	6718	Steroid hormone biosynthesis
449	hsa00140	6783	Steroid hormone biosynthesis
450	hsa00140	6820	Steroid hormone biosynthesis
